datetime,used_power,surplus_power
2016/8/25,0,-862.53
2016/8/27,0,-862.53
2016/8/28,0.64,-863.17
2016/8/29,0,158.61
2016/8/30,1.84,236.77
2016/8/31,0,236.77
2016/9/1,0,236.77
2016/9/2,0.01,236.76
2016/9/3,0,236.76
2016/9/4,0,236.76
2016/9/5,0.01,236.75
2016/9/6,0.01,236.74
2016/9/7,0,236.74
2016/9/9,0.02,236.72
2016/9/10,0,236.72
2016/9/11,0,236.72
2016/9/12,0,236.72
2016/9/13,0.01,236.71
2016/9/14,0,236.71
2016/9/15,0,236.71
2016/9/16,0,236.71
2016/9/17,1.7,235.01
2016/9/18,2.56,232.45
2016/9/19,1.34,231.11
2016/9/20,0.99,230.12
2016/9/21,0.92,229.2
2016/9/22,1.4,227.8
2016/9/23,1.52,226.28
2016/9/24,1.17,225.11
2016/9/25,2.23,222.88
2016/9/26,2.08,220.8
2016/9/27,1.43,219.37
2016/9/28,1.27,218.1
2016/9/29,1.73,216.37
2016/9/30,1.71,214.66
2016/10/1,1.6,213.06
2016/10/2,1.28,211.78
2016/10/3,1.25,210.53
2016/10/4,1.44,209.09
2016/10/5,1.07,208.02
2016/10/6,1.5,206.52
2016/10/7,1.67,204.85
2016/10/8,1.79,203.06
2016/10/9,1.41,201.65
2016/10/10,1.22,200.43
2016/10/11,1.15,199.28
2016/10/12,1.36,197.92
2016/10/13,1.72,196.2
2016/10/14,1.79,194.41
2016/10/15,1.47,192.94
2016/10/16,1.2,191.74
2016/10/17,1.56,190.18
2016/10/18,1.58,188.6
2016/10/19,1.22,187.38
2016/10/20,1.66,185.72
2016/10/21,2.11,183.61
2016/10/22,2.44,181.17
2016/10/23,2.41,178.76
2016/10/24,3.26,175.5
2016/10/25,1.35,174.15
2016/10/26,1.22,172.93
2016/10/27,1.98,170.95
2016/10/28,1.17,169.78
2016/10/31,5.42,164.36
2016/11/1,0.98,163.38
2016/11/2,3.16,160.22
2016/11/3,4.15,156.07
2016/11/4,1.19,154.88
2016/11/5,1.58,153.3
2016/11/6,1.64,151.66
2016/11/7,1.06,150.6
2016/11/8,2.07,148.53
2016/11/9,1.34,67.19
2016/11/10,2.08,65.11
2016/11/11,1.17,63.94
2016/11/12,1.54,62.4
2016/11/13,1.5,60.9
2016/11/14,1.29,59.61
2016/11/15,1.09,58.52
2016/11/16,2.72,55.8
2016/11/17,1.84,53.96
2016/11/18,1.44,52.52
2016/11/19,1.25,51.27
2016/11/20,1.21,50.06
2016/11/21,1.17,48.89
2016/11/22,0.76,48.13
2016/11/23,4.1,44.03
2016/11/24,8.45,35.58
2016/11/25,2.98,32.6
2016/11/26,3.85,28.75
2016/11/27,0.01,28.74
2016/11/28,8.02,20.72
2016/11/29,2.61,18.11
2016/11/30,1.96,16.15
2016/12/1,4.96,11.19
2016/12/2,3.3,7.89
2016/12/3,3.99,3.9
2016/12/4,2.31,21.59
2016/12/5,1.52,20.07
2016/12/6,1.44,18.63
2016/12/7,1.08,17.55
2016/12/9,2.4,15.15
2016/12/10,1.33,53.82
2016/12/11,1.81,52.01
2016/12/12,2.53,49.48
2016/12/13,1.72,47.76
2016/12/14,1.9,45.86
2016/12/15,7.54,38.32
2016/12/16,5.79,32.53
2016/12/17,7.6,24.93
2016/12/18,1.64,23.29
2016/12/19,1.79,21.5
2016/12/20,1.22,20.28
2016/12/21,1.42,18.86
2016/12/22,1.52,17.34
2016/12/23,1.64,15.7
2016/12/24,9.59,24.29
2016/12/25,8.34,15.95
2016/12/26,7.43,8.52
2016/12/27,3.62,4.9
2016/12/28,4.9,0
2016/12/29,1.79,34.58
2016/12/30,1.73,32.85
2016/12/31,0.84,32.01
2017/1/1,5.25,26.76
2017/1/2,1.96,24.8
2017/1/3,2.72,22.08
2017/1/4,3.63,18.45
2017/1/5,4.71,13.74
2017/1/6,1.49,12.25
2017/1/7,0,12.25
2017/1/8,0,12.25
2017/1/9,0,12.25
2017/1/10,0,12.25
2017/1/11,0,12.25
2017/1/12,0,12.25
2017/1/13,0,12.25
2017/1/14,0,12.25
2017/1/15,0,12.25
2017/2/18,0,252.24
2017/2/19,0.2,172.05
2017/2/20,5.57,166.48
2017/2/21,1.48,165
2017/2/22,1.43,163.57
2017/2/23,4.21,159.36
2017/2/24,2.3,157.06
2017/2/25,1.75,155.31
2017/2/26,2.16,153.15
2017/2/27,1.83,151.32
2017/2/28,1.67,149.65
2017/3/1,1.35,148.3
2017/3/2,1.95,146.35
2017/3/3,1.23,145.12
2017/3/4,1.5,183.62
2017/3/5,1.99,181.63
2017/3/6,1.7,179.93
2017/3/7,1.61,178.32
2017/3/8,1.2,177.12
2017/3/9,1.63,175.49
2017/3/10,0.97,174.52
2017/3/11,1.25,173.27
2017/3/12,1.23,172.04
2017/3/13,1.86,170.18
2017/3/14,1.6,168.58
2017/3/15,0.99,167.59
2017/3/16,1.49,166.1
2017/3/17,1.53,164.57
2017/3/18,1.64,162.93
2017/3/19,2.12,160.81
2017/3/20,1.85,158.96
2017/3/21,1.37,157.59
2017/3/22,0.99,156.6
2017/3/23,1.76,154.84
2017/3/24,1.36,153.48
2017/3/25,1.86,151.62
2017/3/26,1.89,149.73
2017/3/27,2.19,147.54
2017/3/28,1.54,146
2017/3/29,1.48,144.52
2017/3/30,1.55,142.97
2017/3/31,1.42,141.55
2017/4/1,1.76,139.79
2017/4/2,1.15,138.64
2017/4/3,0.8,137.84
2017/4/4,0.85,136.99
2017/4/5,1.8,135.19
2017/4/6,0.61,134.58
2017/4/7,2.22,132.36
2017/4/8,1.71,130.65
2017/4/9,1.06,129.59
2017/4/10,2.11,127.48
2017/4/11,1.37,126.11
2017/4/12,1.22,124.89
2017/4/13,1.49,123.4
2017/4/14,1.19,122.21
2017/4/15,1.37,120.84
2017/4/16,1.6,119.24
2017/4/17,1.86,117.38
2017/4/18,1.45,115.93
2017/4/19,0.8,115.13
2017/4/20,0.85,114.28
2017/4/21,1.28,113
2017/4/22,1.31,111.69
2017/4/23,1.32,110.37
2017/4/24,1.21,109.15
2017/4/25,1.19,107.97
2017/4/26,1.66,106.31
2017/4/27,1.23,105.08
2017/4/28,1.56,103.52
2017/4/29,1.11,102.4
2017/4/30,0.67,101.74
2017/5/1,1.46,100.28
2017/5/2,1.44,98.84
2017/5/3,1.47,97.37
2017/5/4,1.27,96.1
2017/5/5,1.4,94.7
2017/5/6,1.36,93.34
2017/5/7,1.79,91.55
2017/5/8,1.71,89.84
2017/5/9,1.28,88.56
2017/5/10,1.55,87.01
2017/5/11,1.35,85.65
2017/5/12,1.55,84.11
2017/5/13,1.72,82.39
2017/5/14,1.83,80.56
2017/5/15,1.74,78.82
2017/5/16,1.36,77.46
2017/5/17,1.69,75.77
2017/5/18,1.52,74.25
2017/5/19,1.59,72.65
2017/5/20,1.82,70.84
2017/5/21,1.18,69.65
2017/5/22,1.22,68.44
2017/5/23,1.2,67.24
2017/5/24,1.55,65.69
2017/5/25,1.07,64.62
2017/5/26,1.14,63.48
2017/5/27,1.43,62.05
2017/5/28,4.52,57.53
2017/5/29,10.9,46.63
2017/5/30,8.53,38.1
2017/5/31,8.48,29.62
2017/6/1,8.87,20.75
2017/6/2,3.14,17.61
2017/6/3,2.02,15.59
2017/6/4,2.36,13.23
2017/6/5,2,11.23
2017/6/6,1.66,9.57
2017/6/7,1.81,7.76
2017/6/8,1.52,6.24
2017/6/9,1.74,4.5
2017/6/10,6.11,43.84
2017/6/11,1.7,42.14
2017/6/12,1.75,40.39
2017/6/13,1.88,38.51
2017/6/14,1.54,36.97
2017/6/15,2.01,34.96
2017/6/16,1.96,33
2017/6/17,7.8,25.2
2017/6/18,6.3,18.9
2017/6/19,4.2,14.7
2017/6/20,12.51,2.19
2017/6/21,3.89,43.76
2017/6/22,2.4,41.36
2017/6/23,6.97,34.39
2017/6/24,3.04,31.35
2017/6/25,5.14,26.21
2017/6/26,3.2,23.01
2017/6/27,1.69,21.32
2017/6/28,6.14,15.17
2017/6/29,6.11,18.15
2017/6/30,6.31,11.84
2017/7/1,4.58,7.26
2017/7/2,2.49,4.77
2017/7/3,0,4.77
2017/7/4,0,4.77
2017/7/5,0,4.77
2017/7/6,0,4.77
2017/7/7,0,4.77
2017/7/8,10.23,0
2017/7/9,0,0
2017/7/11,0,0
2017/7/12,0,0
2017/7/13,0,0
2017/7/14,0,0
2017/7/15,0,0
2017/8/23,0,0
2017/8/24,0,0
2017/8/25,0,0
2017/8/26,0,0
2017/8/27,0,0
2017/8/28,0,0
2017/8/29,0,0
2017/8/30,1.44,-1.44
2017/8/31,1.13,-2.57
2017/9/1,0.91,-3.48
2017/9/2,0,200
2017/9/3,1.44,198.56
2017/9/4,1.41,197.15
2017/9/5,1.24,195.91
2017/9/6,1.85,194.06
2017/9/7,1.41,192.65
2017/9/8,1.76,190.89
2017/9/9,2,188.89
2017/9/10,1.48,187.41
2017/9/11,1.44,185.97
2017/9/13,2.16,183.81
2017/9/14,1.45,182.36
2017/9/15,0.98,181.38
2017/9/16,1.52,179.86
2017/9/17,0.98,178.88
2017/9/18,1.99,176.89
2017/9/19,1.33,175.56
2017/9/20,5.69,169.87
2017/9/21,1.55,168.32
2017/9/22,1.26,167.06
2017/9/23,1.95,165.11
2017/9/24,1.75,163.36
2017/9/25,1.74,161.62
2017/9/26,1.28,160.34
2017/9/27,1.68,158.66
2017/9/29,2.48,156.18
2017/9/30,1.31,154.87
2017/10/1,0.95,153.92
2017/10/2,1.09,152.83
2017/10/3,1.12,151.71
2017/10/4,1.54,150.17
2017/10/5,1.37,148.8
2017/10/6,1.35,147.45
2017/10/7,1.5,145.95
2017/10/8,1.04,144.91
2017/10/9,1.28,143.63
2017/10/10,1.03,142.6
2017/10/11,1.05,141.55
2017/10/12,1.56,139.99
2017/10/13,1.07,138.92
2017/10/14,1.02,97.9
2017/10/15,0.87,97.03
2017/10/16,1.17,95.86
2017/10/17,0.93,94.93
2017/10/18,0.86,94.07
2017/10/19,0.74,93.33
2017/10/20,0.99,92.34
2017/10/21,0.89,91.45
2017/10/22,0.71,90.74
2017/10/23,1.15,89.59
2017/10/24,0.96,88.63
2017/10/25,0.99,87.64
2017/10/26,1.1,86.54
2017/10/27,1.29,85.25
2017/10/28,1.19,84.06
2017/10/29,0.76,83.3
2017/10/30,0.89,82.41
2017/10/31,1.31,81.1
2017/11/1,0.97,80.13
2017/11/2,1.12,79.01
2017/11/3,1.4,77.61
2017/11/4,1.21,76.4
2017/11/5,1.24,75.16
2017/11/6,1.3,73.86
2017/11/7,1.17,72.69
2017/11/8,1.12,71.57
2017/11/9,1.06,70.51
2017/11/10,1.1,69.41
2017/11/11,1.13,68.28
2017/11/12,1.2,67.08
2017/11/13,1.17,65.91
2017/11/14,1.1,64.81
2017/11/15,1.04,63.77
2017/11/16,1.3,62.47
2017/11/17,1.18,61.29
2017/11/18,1.2,60.09
2017/11/19,1.03,59.06
2017/11/20,1.38,57.68
2017/11/21,3.13,54.55
2017/11/22,1.13,53.42
2017/11/23,1.49,51.93
2017/11/24,1.2,50.73
2017/11/25,1.13,49.6
2017/11/26,1.2,48.4
2017/11/27,1.51,46.89
2017/11/28,1.59,45.3
2017/11/29,1.31,43.99
2017/11/30,1.32,42.67
2017/12/1,1.67,41
2017/12/2,1.27,39.73
2017/12/3,1.68,38.05
2017/12/4,1.55,36.5
2017/12/5,1.2,35.3
2017/12/6,1.21,34.09
2017/12/7,4.58,29.51
2017/12/9,15.15,14.36
2017/12/10,9.08,5.28
2017/12/11,1.56,94.63
2017/12/12,6.27,88.36
2017/12/14,11.94,76.42
2017/12/15,11.78,64.64
2017/12/16,9.24,55.4
2017/12/17,7.41,47.99
2017/12/18,9.01,38.98
2017/12/19,2.41,36.57
2017/12/20,2.4,34.17
2017/12/21,2.75,31.42
2017/12/22,3.86,27.56
2017/12/24,13.13,14.43
2017/12/25,1.73,12.7
2017/12/26,1.15,11.55
2017/12/27,7.15,4.4
2017/12/28,9.6,40.26
2017/12/29,1.35,38.9
2017/12/30,1.12,37.79
2017/12/31,1.48,36.3
2018/1/1,12.6,23.7
2018/1/2,2.27,21.43
2018/1/3,1.18,20.26
2018/1/4,6.77,13.48
2018/1/5,13.49,-0.01
2018/1/6,28.37,7.99
2018/1/7,7.99,0
2018/1/8,8.89,36.57
2018/1/9,14.4,22.17
2018/1/10,2.15,20.01
2018/1/11,4.31,15.7
2018/1/12,4.5,11.2
2018/1/13,3.54,7.67
2018/1/14,2.56,5.11
2018/1/15,4.35,0.76
2018/1/16,0,0.76
2018/1/17,0,0.76
2018/1/18,0,0.76
