datetime,used_power
2017/7/26,0
2017/7/27,0
2017/7/28,0
2017/7/29,0
2017/7/30,0
2017/7/31,0
2017/8/1,0
2017/8/2,0
2017/8/5,0
2017/8/6,0
2017/8/7,0
2017/8/8,0
2017/8/9,0
2017/8/10,0
2017/8/12,0
2017/8/13,0
2017/8/14,0
2017/8/15,0
2017/8/16,0
2017/8/17,0
2017/8/18,0
2017/8/19,0
2017/8/21,0
2017/8/22,0
2017/8/23,0
2017/8/24,0
2017/8/25,0
2017/8/26,0
2017/8/27,1
2017/8/28,1.31
2017/8/29,8.55
2017/8/30,3.74
2017/8/31,2.81
2017/9/1,2.25
2017/9/2,4.19
2017/9/3,0
2017/9/4,3.8
2017/9/5,3.56
2017/9/6,1.82
2017/9/7,2.58
2017/9/8,2.53
2017/9/9,5.23
2017/9/10,1.36
2017/9/11,2.24
2017/9/13,5.86
2017/9/14,1.8
2017/9/15,2.59
2017/9/16,1.94
2017/9/17,1.57
2017/9/18,2.46
2017/9/19,3.8
2017/9/20,3.76
2017/9/21,3.13
2017/9/22,2.92
2017/9/23,2.36
2017/9/24,3.26
2017/9/25,3.31
2017/9/26,4.35
2017/9/27,4.16
2017/9/28,2.7
2017/9/29,4.17
2017/9/30,2.64
2017/10/1,1.41
2017/10/2,1.22
2017/10/3,0.44
2017/10/4,0
2017/10/5,0.01
2017/10/6,0
2017/10/7,0
2017/10/8,0.27
2017/10/9,1.87
2017/10/10,3.52
2017/10/11,3.06
2017/10/16,16
2017/10/17,2.88
2017/10/18,2.96
2017/10/19,3.49
2017/10/20,2.79
2017/10/21,2.43
2017/10/22,2.83
2017/10/23,4.28
2017/10/24,3.64
2017/10/25,3.59
2017/10/26,2.3
2017/10/27,4.26
2017/10/28,2.24
2017/10/29,2.44
2017/10/31,4.89
2017/11/1,3.02
2017/11/2,2.61
2017/11/3,2.64
2017/11/4,3.56
2017/11/5,2.4
2017/11/6,5.54
2017/11/7,2.5
2017/11/8,1.84
2017/11/9,2.31
2017/11/10,3.37
2017/11/11,2.28
2017/11/12,1.73
2017/11/13,4.26
2017/11/14,2.53
2017/11/15,3.45
2017/11/16,4.05
2017/11/17,2.42
2017/11/18,2.14
2017/11/19,3.1
2017/11/20,4.49
2017/11/21,6.68
2017/11/22,7.83
2017/11/23,2.46
2017/11/24,10.89
2017/11/25,15.33
2017/11/26,3.38
2017/11/27,4.17
2017/11/28,2.72
2017/11/29,2.48
2017/11/30,2.95
2017/12/1,2.96
2017/12/2,2.4
2017/12/3,6.97
2017/12/4,2.88
2017/12/5,6.44
2017/12/6,9.23
2017/12/7,11.35
2017/12/8,3.84
2017/12/9,16.44
2017/12/10,3.76
2017/12/11,6.86
2017/12/12,11.22
2017/12/13,9.27
2017/12/14,8.26
2017/12/15,9.27
2017/12/16,2.75
2017/12/17,12.81
2017/12/18,13.39
2017/12/19,3.87
2017/12/20,3.12
2017/12/21,12.36
2017/12/22,6.39
2017/12/23,2.77
2017/12/24,2.2
2017/12/25,3.69
2017/12/27,6.6
2017/12/28,3.66
2017/12/29,3.51
2017/12/30,2.39
2017/12/31,3.61
2018/1/1,3.2
2018/1/2,3.65
2018/1/3,2.31
2018/1/4,2.41
2018/1/5,4.67
2018/1/6,2.46
2018/1/7,4.79
2018/1/8,4.27
2018/1/9,2.6
2018/1/10,2.78
2018/1/11,6.74
2018/1/12,9.69
2018/1/13,8.41
2018/1/14,6.46
2018/1/15,0.75
2018/1/16,0
2018/1/17,0
2018/1/18,0
