datetime,used_power,surplus_power
2018/01/18,2.72,524.12
2018/01/17,9.32,526.84
2018/01/16,5.40,536.16
2018/01/15,5.87,541.56
2018/01/14,8.66,547.43
2018/01/13,7.30,556.09
2018/01/12,12.94,563.39
2018/01/11,7.66,576.33
2018/01/10,11.46,583.99
2018/01/09,4.95,595.45
2018/01/08,11.00,600.40
2018/01/07,10.14,611.40
2018/01/06,5.81,621.54
2018/01/05,5.82,627.35
2018/01/04,11.94,633.17
2018/01/03,7.55,645.11
2018/01/02,2.87,652.66
2018/01/01,6.94,655.53
2017/12/31,4.46,662.47
2017/12/30,4.08,666.93
2017/12/29,3.58,671.01
2017/12/28,4.13,674.59
2017/12/27,3.72,678.72
2017/12/26,3.63,682.44
2017/12/25,3.54,686.07
2017/12/24,12.07,689.61
2017/12/22,6.15,701.68
2017/12/21,9.39,707.83
2017/12/20,4.64,717.22
2017/12/19,3.97,721.86
2017/12/18,5.32,725.83
2017/12/17,12.99,731.15
2017/12/16,7.19,744.14
2017/12/15,4.87,751.33
2017/12/14,10.13,756.20
2017/12/12,4.08,766.33
2017/12/11,3.96,770.41
2017/12/10,5.93,774.37
2017/12/09,20.48,780.30
2017/12/07,7.87,800.78
2017/12/06,5.62,808.65
2017/12/05,9.30,814.27
2017/12/04,9.51,823.57
2017/12/03,3.61,833.08
2017/12/02,6.87,836.69
2017/12/01,5.69,843.56
2017/11/30,3.82,849.25
2017/11/29,3.93,853.07
2017/11/28,3.33,857.00
2017/11/27,4.11,860.33
2017/11/26,3.17,864.44
2017/11/25,4.09,867.61
2017/11/24,3.66,871.70
2017/11/23,3.89,875.36
2017/11/22,4.41,879.25
2017/11/21,3.83,883.66
2017/11/20,3.03,887.49
2017/11/19,3.97,890.52
2017/11/18,3.10,894.49
2017/11/17,3.89,897.59
2017/11/16,3.02,901.48
2017/11/15,4.59,904.50
2017/11/14,3.02,0.00
2017/11/13,4.18,3.02
2017/11/12,3.20,7.20
2017/11/11,4.54,10.40
2017/11/10,2.89,14.94
2017/11/09,3.18,17.83
2017/11/08,3.44,21.01
2017/11/07,3.54,24.45
2017/11/06,3.95,27.99
2017/11/05,3.69,31.94
2017/11/04,3.16,35.63
2017/11/03,3.07,38.79
2017/11/02,3.02,41.86
2017/11/01,3.23,44.88
2017/10/31,3.32,48.11
2017/10/30,2.94,51.43
2017/10/29,2.75,54.37
2017/10/28,3.47,57.12
2017/10/27,3.61,60.59
2017/10/26,2.56,64.20
2017/10/25,3.33,66.76
2017/10/24,3.23,70.09
2017/10/23,2.57,73.32
2017/10/22,3.01,75.89
2017/10/21,3.43,78.90
2017/10/20,3.32,82.33
2017/10/19,2.45,85.65
2017/10/18,3.03,88.10
2017/10/17,2.29,91.13
2017/10/16,2.21,93.42
2017/10/15,2.45,95.63
2017/10/14,2.82,98.08
2017/10/13,2.81,100.90
2017/10/12,3.46,103.71
2017/10/11,2.60,107.17
2017/10/10,3.62,109.77
2017/10/09,1.85,113.39
2017/10/08,1.78,115.24
2017/10/07,2.58,117.02
2017/10/06,3.63,119.60
2017/10/05,2.57,123.23
2017/10/04,3.39,125.80
2017/10/03,1.70,129.19
2017/10/02,4.35,130.89
2017/10/01,1.59,135.24
2017/09/30,2.87,136.83
2017/09/29,4.12,139.70
2017/09/27,1.94,143.82
2017/09/26,2.24,145.76
2017/09/25,1.88,148.00
2017/09/24,2.89,149.88
2017/09/23,1.85,152.77
2017/09/22,2.55,154.62
2017/09/21,1.10,157.17
2017/09/20,2.81,158.27
2017/09/19,1.65,161.08
2017/09/18,2.67,162.73
2017/09/17,2.12,165.40
2017/09/16,2.85,167.52
2017/09/15,1.98,170.37
2017/09/14,3.89,172.35
2017/09/13,3.52,176.24
2017/09/11,2.21,179.76
2017/09/10,2.83,181.97
2017/09/09,2.13,184.80
2017/09/08,2.23,186.93
2017/09/07,1.40,189.16
2017/09/06,2.29,190.56
2017/09/05,2.65,192.85
