datetime,used_power,surplus_power
2018/01/18,0.00,0.76
2018/01/17,0.00,0.76
2018/01/16,0.00,0.76
2018/01/15,0.00,0.76
2018/01/14,0.00,0.76
2018/01/13,0.00,0.76
2018/01/12,0.00,0.76
2018/01/11,0.05,0.76
2018/01/10,1.35,0.80
2018/01/09,1.28,2.15
2018/01/08,2.78,3.43
2018/01/07,2.31,6.21
2018/01/06,1.31,8.52
2018/01/05,1.91,9.83
2018/01/04,2.76,11.74
2018/01/03,1.80,14.51
2018/01/02,3.41,16.30
2018/01/01,1.66,1.54
2017/12/31,2.17,3.20
2017/12/30,1.63,5.37
2017/12/29,2.24,7.00
2017/12/28,3.44,9.24
2017/12/27,2.96,12.68
2017/12/26,2.69,15.64
2017/12/25,2.78,0.15
2017/12/24,4.45,2.93
2017/12/22,2.13,7.38
2017/12/21,2.09,9.51
2017/12/20,1.67,11.60
2017/12/19,2.08,13.26
2017/12/18,2.31,15.35
2017/12/17,2.11,17.65
2017/12/16,1.79,1.59
2017/12/15,2.67,3.38
2017/12/14,4.31,6.04
2017/12/12,3.06,10.36
2017/12/11,1.87,13.42
2017/12/10,2.52,15.29
2017/12/09,4.58,17.81
2017/12/07,3.17,22.39
2017/12/06,2.00,25.56
2017/12/05,2.19,27.56
2017/12/04,2.40,29.75
2017/12/03,2.25,32.15
2017/12/02,2.92,34.40
2017/12/01,2.09,0.95
2017/11/30,2.18,3.04
2017/11/29,1.98,5.22
2017/11/28,1.86,7.20
2017/11/27,2.23,9.06
2017/11/26,2.51,11.29
2017/11/25,2.44,13.80
2017/11/24,2.59,16.24
2017/11/23,2.80,18.83
2017/11/22,1.86,21.63
2017/11/21,1.86,23.49
2017/11/20,2.33,25.35
2017/11/19,2.08,27.68
2017/11/18,1.27,29.76
2017/11/17,1.70,31.03
2017/11/16,1.90,32.73
2017/11/15,1.69,34.63
2017/11/14,1.75,36.32
2017/11/13,2.37,38.07
2017/11/12,1.77,40.44
2017/11/11,1.53,42.21
2017/11/10,1.93,43.74
2017/11/09,2.07,45.67
2017/11/08,1.48,47.74
2017/11/07,2.12,49.22
2017/11/06,2.73,51.34
2017/11/05,2.11,54.07
2017/11/04,1.96,56.18
2017/11/03,2.34,58.14
2017/11/02,1.44,60.48
2017/11/01,1.95,61.92
2017/10/31,1.69,63.87
2017/10/30,1.54,65.56
2017/10/29,1.31,67.10
2017/10/28,1.42,68.41
2017/10/27,1.56,69.83
2017/10/26,1.23,71.39
2017/10/25,1.70,72.62
2017/10/24,1.84,74.32
2017/10/23,2.08,76.16
2017/10/22,2.07,78.24
2017/10/21,2.07,80.31
2017/10/20,1.83,82.38
2017/10/19,2.40,84.21
2017/10/18,1.37,86.61
2017/10/17,1.77,87.98
2017/10/16,2.35,89.75
2017/10/15,2.51,92.10
2017/10/14,1.84,94.61
2017/10/13,1.63,136.45
2017/10/12,2.60,138.08
2017/10/11,1.57,140.68
2017/10/10,1.25,142.25
2017/10/09,1.19,143.50
2017/10/08,1.31,144.69
2017/10/07,0.00,146.00
2017/10/06,0.00,146.00
2017/10/05,0.09,146.00
2017/10/04,0.00,146.09
2017/10/03,0.00,146.09
2017/10/02,0.19,146.09
2017/10/01,1.01,146.28
2017/09/30,1.39,147.29
2017/09/29,3.14,148.68
2017/09/27,1.37,151.82
2017/09/26,1.48,153.19
2017/09/25,1.51,154.67
2017/09/24,1.63,156.18
2017/09/23,2.38,157.81
2017/09/22,1.39,160.19
2017/09/21,1.61,161.58
2017/09/20,1.35,163.19
2017/09/19,1.70,164.54
2017/09/18,2.26,166.24
2017/09/17,1.60,168.50
2017/09/16,2.42,170.10
2017/09/15,2.53,172.52
2017/09/14,2.87,175.05
2017/09/13,4.50,177.92
2017/09/11,2.56,182.42
2017/09/10,2.00,184.98
2017/09/09,3.98,186.98
2017/09/08,1.42,190.96
2017/09/07,1.63,192.38
2017/09/06,2.57,194.01
2017/09/05,1.17,196.58
2017/09/04,1.01,197.75
2017/09/03,1.24,198.76
2017/09/02,-475.31,200.00
2017/09/01,1.27,4.69
2017/08/31,1.87,5.96
2017/08/30,1.87,7.83
2017/08/29,1.09,9.70
2017/08/28,0.00,10.79
2017/08/27,0.00,10.79
2017/08/26,469.21,10.79
2017/08/25,0.00,0.00
2017/08/24,0.00,0.00
2017/08/23,0.00,0.00
2017/07/15,0.00,0.00
2017/07/14,0.00,0.00
2017/07/13,-469.21,0.00
2017/07/12,0.00,10.79
2017/07/11,0.00,10.79
2017/07/09,0.38,10.79
2017/07/08,2.00,11.17
2017/07/07,1.41,13.17
2017/07/06,0.00,14.58
2017/07/05,0.00,14.58
2017/07/04,0.00,14.58
2017/07/03,0.00,14.58
2017/07/02,0.66,14.58
2017/07/01,0.00,15.24
2017/06/30,0.00,15.24
2017/06/29,0.00,15.24
2017/06/28,2.35,15.24
2017/06/27,1.82,17.59
2017/06/26,2.26,19.41
2017/06/25,2.14,21.67
2017/06/24,2.20,23.81
2017/06/23,1.85,26.01
2017/06/22,2.53,27.86
2017/06/21,2.71,30.39
2017/06/20,2.17,33.10
2017/06/19,2.54,35.27
2017/06/18,2.14,37.81
2017/06/17,2.47,39.95
2017/06/16,1.94,42.42
2017/06/15,1.70,44.36
2017/06/14,1.47,46.06
2017/06/13,1.22,47.53
2017/06/12,1.34,48.75
2017/06/11,1.45,50.09
2017/06/10,1.63,51.54
2017/06/09,1.39,53.17
2017/06/08,1.21,54.56
2017/06/07,1.28,55.77
2017/06/06,1.64,57.05
2017/06/05,1.53,58.69
2017/06/04,1.17,60.22
2017/06/03,1.69,61.39
2017/06/02,1.77,63.08
2017/06/01,1.86,64.85
2017/05/31,2.15,66.71
2017/05/30,1.66,68.86
2017/05/29,1.81,70.52
2017/05/28,1.67,72.33
2017/05/27,1.57,74.00
2017/05/26,1.01,75.57
2017/05/25,1.41,76.58
2017/05/24,1.39,77.99
2017/05/23,1.23,79.38
2017/05/22,1.42,80.61
2017/05/21,1.34,82.03
2017/05/20,1.58,83.37
2017/05/19,1.30,84.95
2017/05/18,1.15,86.25
2017/05/17,1.16,87.40
2017/05/16,1.25,88.56
2017/05/15,1.45,89.81
2017/05/14,1.62,91.26
2017/05/13,1.43,92.88
2017/05/12,1.49,94.31
2017/05/11,1.30,95.80
2017/05/10,1.67,97.10
2017/05/09,1.15,98.77
2017/05/08,1.78,99.92
2017/05/07,2.04,101.70
2017/05/06,1.63,103.74
2017/05/05,2.24,105.37
2017/05/04,1.93,107.61
2017/05/03,1.41,109.54
2017/05/02,1.73,110.95
2017/05/01,0.76,112.68
2017/04/30,0.72,113.44
2017/04/29,1.22,114.16
2017/04/28,1.47,115.38
2017/04/27,1.60,116.85
2017/04/26,1.76,118.45
2017/04/25,1.45,120.21
2017/04/24,1.51,121.66
2017/04/23,1.39,123.17
2017/04/22,1.95,124.56
2017/04/21,1.56,126.51
2017/04/20,1.28,128.07
2017/04/19,1.31,129.35
2017/04/18,1.47,130.66
2017/04/17,2.44,132.13
2017/04/16,2.35,134.57
2017/04/15,1.57,136.92
2017/04/14,1.85,138.49
2017/04/13,1.99,140.34
2017/04/12,2.12,142.33
2017/04/11,1.79,144.45
2017/04/10,2.09,146.24
2017/04/09,1.53,148.33
2017/04/08,1.43,149.86
2017/04/07,2.75,151.29
2017/04/06,0.48,154.04
2017/04/05,1.36,154.52
2017/04/04,0.05,155.88
2017/04/03,0.00,155.93
2017/04/02,1.85,155.93
2017/04/01,1.93,157.78
2017/03/31,2.42,159.71
2017/03/30,1.92,162.13
2017/03/29,2.39,164.05
2017/03/28,2.21,166.44
2017/03/27,2.58,168.65
2017/03/26,1.91,171.23
2017/03/25,1.57,173.14
2017/03/24,1.86,174.71
2017/03/23,2.12,176.57
2017/03/22,2.30,178.69
2017/03/21,2.55,180.99
2017/03/20,3.02,183.54
2017/03/19,2.76,186.56
2017/03/18,2.46,189.32
2017/03/17,2.39,191.78
2017/03/16,2.95,194.17
2017/03/15,2.70,197.12
2017/03/14,3.11,199.82
2017/03/13,2.56,202.93
2017/03/12,2.40,205.49
2017/03/11,2.78,207.89
2017/03/10,2.04,210.67
2017/03/09,1.98,212.71
2017/03/08,2.36,214.69
2017/03/07,2.56,217.05
2017/03/06,2.42,219.61
2017/03/05,1.60,222.03
2017/03/04,1.67,223.63
2017/03/03,2.37,225.30
2017/03/02,2.33,227.67
2017/03/01,2.28,230.00
2017/02/28,2.76,232.28
2017/02/27,2.26,235.04
2017/02/26,2.99,237.30
2017/02/25,2.33,240.29
2017/02/24,1.97,242.62
2017/02/23,2.20,244.59
2017/02/22,4.07,246.79
2017/02/21,3.92,250.86
2017/02/20,2.98,254.78
2017/02/19,0.93,257.76
2017/02/18,0.00,258.69
2017/01/15,0.00,18.69
2017/01/14,0.00,18.69
2017/01/13,0.00,18.69
2017/01/12,0.00,18.69
2017/01/11,0.00,18.69
2017/01/10,0.00,18.69
2017/01/09,0.00,18.69
2017/01/08,0.00,18.69
2017/01/07,1.68,18.69
2017/01/06,2.03,20.37
2017/01/05,1.93,22.40
2017/01/04,1.57,24.33
2017/01/03,2.85,25.90
2017/01/02,2.88,28.75
2017/01/01,3.62,31.63
2016/12/31,2.65,35.25
2016/12/30,2.16,37.90
2016/12/29,1.94,40.06
2016/12/28,2.40,42.00
2016/12/27,2.40,44.40
2016/12/26,2.67,46.80
2016/12/25,2.56,49.47
2016/12/24,2.11,52.03
2016/12/23,2.23,54.14
2016/12/22,2.62,56.37
2016/12/21,2.20,58.99
2016/12/20,2.67,61.19
2016/12/19,2.01,63.86
2016/12/18,1.48,65.87
2016/12/17,2.36,67.35
2016/12/16,1.88,69.71
2016/12/15,2.80,71.59
2016/12/14,2.44,74.39
2016/12/13,2.32,76.83
2016/12/12,2.61,79.15
2016/12/11,2.51,81.76
2016/12/10,5.39,84.27
2016/12/09,4.49,89.66
2016/12/07,1.65,94.15
2016/12/06,3.01,95.80
2016/12/05,2.08,98.81
2016/12/04,2.03,100.89
2016/12/03,2.16,102.92
2016/12/02,2.09,105.08
2016/12/01,2.05,107.17
2016/11/30,1.93,109.22
2016/11/29,1.65,111.15
2016/11/28,5.77,112.80
2016/11/27,0.02,118.57
2016/11/26,2.08,118.59
2016/11/25,2.21,120.67
2016/11/24,2.92,122.88
2016/11/23,1.82,125.80
2016/11/22,1.25,127.62
2016/11/21,1.67,128.87
2016/11/20,1.87,130.54
2016/11/19,1.93,132.41
2016/11/18,1.28,134.34
2016/11/17,1.95,135.62
2016/11/16,1.57,137.57
2016/11/15,1.64,139.14
2016/11/14,1.53,140.78
2016/11/13,1.93,142.31
2016/11/12,1.73,144.24
2016/11/11,1.62,145.97
2016/11/10,2.47,147.59
2016/11/09,1.13,150.06
2016/11/08,2.60,151.19
2016/11/07,1.82,153.79
2016/11/06,2.08,155.61
2016/11/05,1.47,157.69
2016/11/04,1.53,159.16
2016/11/03,1.90,160.69
2016/11/02,1.34,162.59
2016/11/01,1.81,163.93
2016/10/31,6.08,165.74
2016/10/28,1.28,171.82
2016/10/27,2.34,173.10
2016/10/26,1.79,175.44
2016/10/25,2.11,177.23
2016/10/24,1.81,179.34
2016/10/23,1.98,181.15
2016/10/22,2.46,183.13
2016/10/21,2.84,185.59
2016/10/20,1.99,188.43
2016/10/19,1.53,190.42
2016/10/18,1.50,191.95
2016/10/17,2.21,193.45
2016/10/16,2.82,195.66
2016/10/15,2.40,198.48
2016/10/14,1.90,200.88
2016/10/13,1.44,202.78
2016/10/12,1.62,204.22
2016/10/11,1.99,205.84
2016/10/10,2.51,207.83
2016/10/09,1.94,210.34
2016/10/08,1.82,212.28
2016/10/07,0.61,214.10
2016/10/06,0.00,214.71
2016/10/05,0.02,214.71
2016/10/04,0.06,214.73
2016/10/03,0.00,214.79
2016/10/02,1.00,214.79
2016/10/01,1.74,215.79
2016/09/30,1.53,217.53
2016/09/29,1.44,219.06
2016/09/28,1.21,220.50
2016/09/27,1.18,221.71
2016/09/26,1.37,222.89
2016/09/25,1.61,224.26
2016/09/24,1.66,225.87
2016/09/23,0.95,227.53
2016/09/22,1.70,228.48
2016/09/21,0.91,230.18
2016/09/20,1.39,231.09
2016/09/19,1.37,232.48
2016/09/18,1.26,233.85
2016/09/17,1.29,235.11
2016/09/16,0.00,236.40
2016/09/15,0.00,236.40
2016/09/14,0.00,236.40
2016/09/13,0.00,236.40
2016/09/12,0.00,236.40
2016/09/11,0.00,236.40
2016/09/10,0.00,236.40
2016/09/09,0.00,236.40
2016/09/07,0.00,236.40
2016/09/06,0.00,236.40
2016/09/05,0.00,236.40
2016/09/04,0.00,236.40
2016/09/03,0.00,236.40
2016/09/02,0.00,236.40
2016/09/01,0.00,236.40
2016/08/31,0.00,236.40
2016/08/30,2.17,236.40
2016/08/29,-427.48,158.57
2016/08/28,1.78,105.64
2016/08/27,0.79,107.42
2016/08/25,98.25,108.21
