datetime,used_power,surplus_power
2018/01/18,0.00,0.00
2018/01/17,0.00,0.00
2018/01/16,0.00,0.00
2018/01/15,0.00,0.00
2018/01/14,0.00,0.00
2018/01/13,0.00,0.00
2018/01/12,0.00,0.00
2018/01/11,27.27,0.00
2018/01/10,5.46,-0.01
2018/01/09,3.50,5.46
2018/01/08,3.73,8.96
2018/01/07,8.05,3.60
2018/01/06,7.92,11.65
2018/01/05,5.94,19.57
2018/01/04,1.83,25.51
2018/01/03,1.28,27.33
2018/01/02,1.17,28.62
2018/01/01,0.42,11.61
2017/12/31,2.38,12.03
2017/12/30,1.48,14.40
2017/12/29,1.11,15.89
2017/12/28,1.70,17.00
2017/12/27,1.42,18.70
2017/12/26,2.13,20.12
2017/12/25,1.42,22.25
2017/12/24,2.19,23.67
2017/12/22,1.49,25.86
2017/12/21,1.75,27.35
2017/12/20,1.31,29.10
2017/12/19,1.79,30.40
2017/12/18,1.17,32.20
2017/12/17,1.76,33.37
2017/12/16,1.24,35.13
2017/12/15,1.29,0.00
2017/12/14,4.41,1.29
2017/12/12,1.76,5.70
2017/12/11,1.27,7.46
2017/12/10,1.39,8.73
2017/12/09,2.33,10.12
2017/12/07,1.14,12.45
2017/12/06,1.03,13.59
2017/12/05,1.37,14.62
2017/12/04,0.69,15.99
2017/12/03,1.05,16.68
2017/12/02,0.80,17.73
2017/12/01,1.00,18.53
2017/11/30,1.36,19.53
2017/11/29,0.98,20.89
2017/11/28,1.94,21.87
2017/11/27,1.66,23.81
2017/11/26,1.49,25.47
2017/11/25,1.67,26.96
2017/11/24,1.89,28.63
2017/11/23,1.90,30.52
2017/11/22,1.54,32.42
2017/11/21,1.75,33.96
2017/11/20,1.71,35.71
2017/11/19,1.74,37.42
2017/11/18,0.97,39.16
2017/11/17,1.83,40.13
2017/11/16,1.80,41.96
2017/11/15,1.26,43.76
2017/11/14,1.25,45.02
2017/11/13,2.62,46.27
2017/11/12,2.06,48.89
2017/11/11,1.81,50.95
2017/11/10,1.88,52.76
2017/11/09,1.23,54.64
2017/11/08,1.26,55.87
2017/11/07,0.95,57.13
2017/11/06,1.42,58.08
2017/11/05,0.91,59.50
2017/11/04,1.07,60.41
2017/11/03,1.50,61.48
2017/11/02,1.77,62.98
2017/11/01,1.08,64.75
2017/10/31,1.30,65.83
2017/10/30,1.42,67.13
2017/10/29,0.85,68.55
2017/10/28,1.46,69.40
2017/10/27,1.60,70.86
2017/10/26,1.43,72.46
2017/10/25,0.83,73.89
2017/10/24,0.98,74.72
2017/10/23,2.38,75.70
2017/10/22,2.13,78.08
2017/10/21,2.99,80.21
2017/10/20,2.45,83.20
2017/10/19,2.30,85.65
2017/10/18,1.20,87.95
2017/10/17,1.12,89.15
2017/10/16,2.40,90.27
2017/10/15,1.96,92.67
2017/10/14,2.54,94.63
2017/10/13,1.80,137.17
2017/10/12,1.47,138.97
2017/10/11,1.54,140.44
2017/10/10,1.42,141.98
2017/10/09,0.45,143.40
2017/10/08,0.51,143.85
2017/10/07,0.00,144.36
2017/10/06,0.00,144.36
2017/10/05,0.00,144.36
2017/10/04,0.00,144.36
2017/10/03,0.00,144.36
2017/10/02,0.00,144.36
2017/10/01,0.29,144.36
2017/09/30,1.25,144.65
2017/09/29,3.39,145.90
2017/09/27,1.58,149.29
2017/09/26,1.50,150.87
2017/09/25,1.92,152.37
2017/09/24,2.71,154.29
2017/09/23,3.21,157.00
2017/09/22,2.05,160.21
2017/09/21,1.71,162.26
2017/09/20,2.36,163.97
2017/09/19,2.15,166.33
2017/09/18,2.23,168.48
2017/09/17,2.88,170.71
2017/09/16,2.99,173.59
2017/09/15,2.10,176.58
2017/09/14,1.90,178.68
2017/09/13,3.69,180.58
2017/09/11,1.74,184.27
2017/09/10,2.21,186.01
2017/09/09,1.15,188.22
2017/09/08,1.35,189.37
2017/09/07,2.12,190.72
2017/09/06,1.73,192.84
2017/09/05,1.63,194.57
2017/09/04,1.68,196.20
2017/09/03,2.12,197.88
2017/09/02,-799.26,200.00
2017/09/01,0.88,8.02
2017/08/31,1.16,8.90
2017/08/30,0.15,10.06
2017/08/29,0.00,10.21
2017/08/28,0.00,10.21
2017/08/27,0.00,10.21
2017/08/26,797.07,10.21
2017/08/25,0.00,0.00
2017/08/24,0.00,0.00
2017/08/23,0.00,0.00
2017/07/15,0.00,0.00
2017/07/14,0.00,0.00
2017/07/13,-797.07,0.00
2017/07/12,0.00,10.21
2017/07/11,0.26,10.21
2017/07/09,1.54,10.47
2017/07/08,0.64,12.01
2017/07/07,0.49,12.65
2017/07/06,0.11,13.14
2017/07/05,0.11,13.24
2017/07/04,0.11,13.36
2017/07/03,0.11,13.47
2017/07/02,1.27,13.58
2017/07/01,0.30,14.85
2017/06/30,1.62,15.15
2017/06/29,2.04,16.77
2017/06/28,2.24,18.81
2017/06/27,1.90,21.05
2017/06/26,1.69,22.95
2017/06/25,2.07,24.64
2017/06/24,2.30,26.71
2017/06/23,1.36,29.01
2017/06/22,1.78,30.37
2017/06/21,1.72,32.15
2017/06/20,2.00,33.87
2017/06/19,2.64,35.87
2017/06/18,2.21,38.51
2017/06/17,2.82,40.72
2017/06/16,1.44,43.54
2017/06/15,1.88,44.98
2017/06/14,2.38,46.86
2017/06/13,2.71,49.24
2017/06/12,1.59,51.95
2017/06/11,2.67,53.54
2017/06/10,2.51,1.66
2017/06/09,1.70,4.17
2017/06/08,2.04,5.87
2017/06/07,1.72,7.91
2017/06/06,2.31,9.63
2017/06/05,1.02,11.94
2017/06/04,1.92,12.96
2017/06/03,1.61,14.88
2017/06/02,1.28,16.49
2017/06/01,1.26,17.77
2017/05/31,2.65,19.03
2017/05/30,2.11,21.68
2017/05/29,1.80,23.79
2017/05/28,1.94,25.59
2017/05/27,1.60,27.53
2017/05/26,1.34,29.13
2017/05/25,1.38,30.47
2017/05/24,1.85,31.85
2017/05/23,1.09,33.70
2017/05/22,2.10,34.79
2017/05/21,1.28,36.89
2017/05/20,1.60,38.17
2017/05/19,1.59,39.77
2017/05/18,1.12,41.36
2017/05/17,1.40,42.48
2017/05/16,1.05,43.88
2017/05/15,0.90,44.93
2017/05/14,1.60,45.83
2017/05/13,1.88,47.43
2017/05/12,1.57,49.31
2017/05/11,1.25,50.88
2017/05/10,1.62,52.13
2017/05/09,1.07,53.75
2017/05/08,0.92,54.82
2017/05/07,1.76,55.74
2017/05/06,1.07,57.50
2017/05/05,1.52,58.57
2017/05/04,2.55,60.09
2017/05/03,2.87,62.64
2017/05/02,3.61,65.51
2017/05/01,3.68,69.12
2017/04/30,2.21,72.80
2017/04/29,2.36,75.01
2017/04/28,2.04,77.37
2017/04/27,3.49,79.41
2017/04/26,2.23,82.90
2017/04/25,3.59,85.13
2017/04/24,4.15,88.72
2017/04/23,5.47,92.87
2017/04/22,4.21,98.34
2017/04/21,2.30,102.55
2017/04/20,2.47,104.85
2017/04/19,2.48,107.32
2017/04/18,1.79,109.80
2017/04/17,1.39,111.59
2017/04/16,2.15,112.98
2017/04/15,2.37,115.13
2017/04/14,1.84,117.50
2017/04/13,1.65,119.34
2017/04/12,1.69,120.99
2017/04/11,1.62,122.68
2017/04/10,1.70,124.30
2017/04/09,0.93,126.00
2017/04/08,1.61,126.93
2017/04/07,2.68,128.54
2017/04/06,0.28,131.22
2017/04/05,1.80,131.50
2017/04/04,2.18,133.30
2017/04/03,2.34,135.48
2017/04/02,2.63,137.82
2017/04/01,1.97,140.45
2017/03/31,2.03,142.42
2017/03/30,3.15,144.45
2017/03/29,3.13,147.60
